config_id,t_s,Icell11_mA,Icell12_mA,Icell13_mA,Icell14_mA,Icell15_mA,Icell21_mA,Icell22_mA,Icell23_mA,Icell24_mA,Icell25_mA,Icell31_mA,Icell32_mA,Icell33_mA,Icell34_mA,Icell35_mA,Icell41_mA,Icell42_mA,Icell43_mA,Icell44_mA,Icell45_mA,Icell51_mA,Icell52_mA,Icell53_mA,Icell54_mA,Icell55_mA,I_RL_mA,V_out_diff_V,E_out_mJ
11.0,0.0,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.03998,-329.03998,1645.2001,16.452,2.7066828164638824e-06
11.0,9.999999439624929e-11,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,1645.2001,16.452,5.413365632927765e-06
11.0,1.9999998879249858e-10,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.03998,-329.03998,-329.03998,-329.03998,-329.03998,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04,1645.2001,16.452,9.473389857623588e-06
11.0,3.9999997758499717e-10,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.03992,-329.03992,-329.03992,-329.03992,-329.03992,-329.03995,-329.03995,-329.03995,-329.03995,-329.03995,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04004,-329.04004,-329.04004,-329.04004,-329.04004,1645.2001,16.452,1.7593438307015237e-05
11.0,7.999999551699943e-10,-329.0398,-329.0398,-329.0398,-329.0398,-329.0398,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.04,-329.04,-329.04,-329.04,-329.04,-329.04007,-329.04007,-329.04007,-329.04007,-329.04007,1645.2001,16.452,3.383353520579853e-05
11.0,1.5999999103399887e-09,-329.03958,-329.03958,-329.03958,-329.03958,-329.03958,-329.0397,-329.0397,-329.0397,-329.0397,-329.0397,-329.0399,-329.03986,-329.03986,-329.03986,-329.03986,-329.04,-329.04,-329.04,-329.04,-329.04,-329.0402,-329.0402,-329.0402,-329.0402,-329.0402,1645.2001,16.452,6.631372900336512e-05
11.0,3.1999998206799773e-09,-329.03925,-329.03925,-329.03925,-329.03925,-329.03925,-329.0394,-329.0394,-329.0394,-329.0394,-329.0394,-329.03983,-329.03983,-329.03983,-329.03983,-329.03983,-329.04004,-329.04004,-329.04004,-329.04004,-329.04004,-329.04047,-329.04047,-329.04047,-329.04047,-329.04047,1645.2001,16.452,0.0001312741165984983
11.0,6.399999641359955e-09,-329.0387,-329.0387,-329.0387,-329.0387,-329.0387,-329.03888,-329.03888,-329.03888,-329.03888,-329.03888,-329.0399,-329.0399,-329.0399,-329.0399,-329.0399,-329.04016,-329.04016,-329.04016,-329.04016,-329.04016,-329.04117,-329.04117,-329.04117,-329.04117,-329.04117,1645.2001,16.452,0.00026119489178876465
11.0,1.279999928271991e-08,-329.03806,-329.03806,-329.03806,-329.03806,-329.03806,-329.0383,-329.0383,-329.0383,-329.0383,-329.0383,-329.0404,-329.0404,-329.0404,-329.0404,-329.0404,-329.04077,-329.04077,-329.04077,-329.04077,-329.04077,-329.04285,-329.04285,-329.04285,-329.04285,-329.04285,1645.2001,16.452,0.0005210364421692974
11.0,2.559999856543982e-08,-329.038,-329.038,-329.038,-329.038,-329.038,-329.03836,-329.03836,-329.03836,-329.03836,-329.03836,-329.04242,-329.04242,-329.04242,-329.04242,-329.04242,-329.04294,-329.04294,-329.04294,-329.04294,-329.04294,-329.04694,-329.04697,-329.04694,-329.04694,-329.04694,1645.2001,16.452,0.0010407195429303628
